acct_id,agent_id,div_code,division,curr_meter_read_remark,prev_meter_read_remark,prev_bill_basis
308000,PUFGL00814,DIV475813,RDF ,RDF,ASS,
597000,FGLTD03116,DIV475814,IDF ,IDF,ASS,
1718000,FGLTD02312,DIV435731,RDF ,OK,MU,
1867000,FGLTD01968,DIV475812,RDF ,RDF,ASS,
5756000,FGLTD02695,DIV475811,IDF,IDF,ASS,
6008000,PUFGL00363,DIV435722,RDF ,P,PROV,
6647000,FGLTD03289,DIV475814,IDF ,IDF,ASS,
6676000,PUFGL00592,DIV475934,IDF ,IDF,ASS,
7537000,PUFGL00751,DIV475812,RDF ,OK,MU,
9001061,PUFGL00886,DIV475611,RDF ,OK,MU,
9835431,PUFGL00376,DIV435722,RDF ,P,PROV,
9856190,PUFGL00547,DIV475934,RDF ,OK,MU,
10496000,PUFGL00844,DIV475814,IDF,IDF,ASS,
10647000,PUFGL00267,DIV435733,RDF ,P,PROV,
11370103,PUFGL00811,DIV475813,RDF ,OK,MU,
12896000,PUFGL00716,DIV475811,RDF ,P,PROV,
13736000,FGLTD02667,DIV475813,RDF,RDF,ASS,
13791830,PUFGL00782,DIV475812,RDF ,OK,MU,
14336000,FGLTD02147,DIV475614,RDF ,OK,MU,
15308000,PUFGL00844,DIV475814,IDF ,IDF,ASS,
18663572,PUFGL01018,DIV475612,RDF ,OK,MU,
20477000,FGLTD02178,DIV475934,RDF ,RDF,ASS,
20670172,PUFGL01130,DIV475614,RDF ,OK,MU,
21227000,FGLTD02305,DIV475814,IDF ,IDF,ASS,
21647000,PUFGL00802,DIV475813,RDF,RDF,ASS,
22834547,PUFGL00830,DIV475813,RDF,OK,CEIL,
23587000,FGLTD02667,DIV475813,RDF ,RDF,ASS,
24675000,FGLTD02305,DIV475814,IDF,IDF,ASS,
25510249,PUFGL00188,DIV435731,RDF ,RDF,ASS,
25856000,PUFGL01038,DIV475613,RDF ,RDF,ASS,
26537000,PUFGL01060,DIV475613,RDF ,RDF,ASS,
28063683,PUFGL00194,DIV435731,RDF ,RDF,ASS,
28846747,PUFGL01189,DIV475935,RDF ,RDF,ASS,
31677000,PUFGL00202,DIV435731,RDF ,RDF,ASS,
35536000,PUFGL00548,DIV475934,RDF ,RDF,ASS,
35563000,PUFGL00484,DIV475932,RDF ,OK,MU,
36464215,FGLTD01157,DIV475611,RDF ,OK,MU,
36618000,PUFGL01048,DIV475613,IDF ,IDF,ASS,
37465000,FGLTD02540,DIV435731,RDF ,OK,MU,
37776000,PUFGL00849,DIV475814,IDF ,IDF,ASS,
37787000,FGLTD02305,DIV475814,IDF ,IDF,ASS,
39986000,PUFGL00922,DIV475612,RDF ,P,PROV,
41496000,PUFGL00806,DIV475813,RDF ,BR,MU,
41557000,FGLTD03289,DIV475814,IDF ,IDF,ASS,
42346000,FGLTD02460,DIV475932,IDF ,IDF,ASS,
